                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7979,                 3.6183,                 1.5991,                0.01972,                0.09257,                 0.0119,                0.00471,                 2.6705,                 3.5002,                 1.4441,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.5625,                  3.595,                 1.4346,                0.02667,                0.12516,                0.01988,                0.00807,                 2.4511,                 3.4484,                 1.3151,              9.868e-05,              9.868e-05,              9.868e-05
                      3,                 2.3305,                 3.4795,                 1.3057,                0.03417,                0.16037,                0.03042,                0.01313,                 2.2721,                 3.4042,                 1.2156,             0.00015578,             0.00015578,             0.00015578
                      4,                 2.1029,                 3.3684,                 1.1968,                0.04889,                0.22947,                0.04783,                0.01969,                 2.1668,                 3.3436,                  1.142,             0.00021129,             0.00021129,             0.00021129
                      5,                 2.0814,                 3.1919,                 1.0949,                0.05806,                0.27249,                0.06246,                0.02485,                 2.2131,                 3.3376,                  1.137,             0.00026522,             0.00026522,             0.00026522
                      6,                 2.1219,                 3.0303,                 1.0893,                0.06222,                0.29205,                0.07331,                0.02706,                 2.2488,                 3.3243,                 1.1277,             0.00031756,             0.00031756,             0.00031756
                      7,                 2.1633,                 2.9208,                 1.0566,                0.07139,                0.33507,                0.09406,                0.03693,                 2.1544,                 3.3007,                 1.0838,             0.00036832,             0.00036832,             0.00036832
                      8,                 2.0599,                 2.7821,                 1.0548,                0.07472,                0.35072,                0.10064,                0.03975,                  2.121,                 3.2989,                 1.0676,              0.0004175,              0.0004175,              0.0004175
                      9,                  2.085,                 2.6502,                 1.0387,                0.08083,                 0.3794,                0.09408,                0.03262,                 2.1295,                 3.3185,                 1.0788,             0.00046509,             0.00046509,             0.00046509
                     10,                 2.0719,                 2.5289,                  1.051,                0.07944,                0.37288,                0.09972,                0.03578,                 2.1307,                 3.3099,                 1.0775,              0.0005111,              0.0005111,              0.0005111
                     11,                  2.097,                 2.4049,                 1.0303,                0.07611,                0.35724,                0.10337,                 0.0409,                 2.1127,                 3.2727,                  1.075,             0.00055552,             0.00055552,             0.00055552
                     12,                 2.1198,                 2.2647,                 1.0171,                0.07972,                0.37419,                0.10681,                0.04138,                 2.1108,                 3.2771,                 1.0802,             0.00059836,             0.00059836,             0.00059836
                     13,                 2.1656,                 2.1895,                 1.0326,                0.07528,                0.35332,                0.09739,                0.03422,                 2.1688,                 3.3027,                 1.1149,             0.00063962,             0.00063962,             0.00063962
                     14,                 2.1504,                 1.9852,                 1.0374,                0.06944,                0.32595,                0.09716,                0.03556,                 2.1755,                 3.2803,                 1.1108,             0.00067929,             0.00067929,             0.00067929
                     15,                 2.1729,                 1.8315,                 1.0282,                0.07389,                0.34681,                0.10436,                0.04219,                 2.0913,                 3.2346,                 1.0774,             0.00071738,             0.00071738,             0.00071738
                     16,                 2.1645,                 1.7598,                 1.0148,                0.07611,                0.35724,                0.09855,                0.03825,                 2.1414,                 3.2327,                 1.1003,             0.00075388,             0.00075388,             0.00075388
                     17,                 2.1028,                 1.6634,                 1.0258,                0.08639,                0.40548,                0.12124,                0.04635,                  2.164,                 3.1722,                 1.0872,              0.0007888,              0.0007888,              0.0007888
                     18,                 2.1413,                 1.5845,                  1.021,                0.09333,                0.43807,                 0.1363,                0.05207,                 2.1702,                 3.0915,                 1.0759,             0.00082214,             0.00082214,             0.00082214
                     19,                 2.2328,                 1.5727,                 1.0251,                0.09944,                0.46675,                0.14626,                0.05566,                 2.1445,                 3.0232,                 1.0602,             0.00085389,             0.00085389,             0.00085389
                     20,                 2.1747,                 1.4907,                 1.0261,                0.10917,                0.51239,                0.14736,                  0.053,                 2.1319,                 3.0004,                 1.0657,             0.00088406,             0.00088406,             0.00088406
                     21,                 2.1018,                 1.5114,                 1.0151,                   0.11,                 0.5163,                0.14693,                0.05099,                  2.206,                 2.9456,                 1.0845,             0.00091264,             0.00091264,             0.00091264
                     22,                 2.1214,                 1.5226,                 1.0346,                   0.12,                0.56323,                0.21314,                0.07455,                 2.1866,                 2.8323,                 1.0776,             0.00093964,             0.00093964,             0.00093964
                     23,                 2.0752,                 1.4088,                  0.995,                0.12667,                0.59452,                0.26899,                0.09772,                 2.1254,                 2.7409,                 1.0691,             0.00096506,             0.00096506,             0.00096506
                     24,                 2.0887,                 1.4181,                 1.0122,                0.13556,                0.63625,                0.30064,                0.11065,                 2.0988,                 2.6805,                  1.061,             0.00098889,             0.00098889,             0.00098889
                     25,                 2.0252,                 1.3721,                 1.0067,                0.13361,                0.62712,                0.27818,                0.10126,                 2.1637,                 2.6515,                 1.0741,              0.0010111,              0.0010111,              0.0010111
                     26,                 2.1109,                 1.4041,                 1.0036,                 0.1325,                 0.6219,                0.30093,                0.09901,                 2.2646,                 2.5682,                 1.0882,              0.0010318,              0.0010318,              0.0010318
                     27,                 2.0464,                 1.3665,                 1.0091,                0.13083,                0.61408,                0.33313,                0.11428,                 2.2225,                 2.4581,                 1.0852,              0.0010509,              0.0010509,              0.0010509
                     28,                 2.0701,                 1.3403,                 1.0016,                0.13306,                0.62451,                0.34194,                0.11935,                 2.1577,                 2.3859,                  1.078,              0.0010684,              0.0010684,              0.0010684
                     29,                 2.0697,                 1.3403,                  1.017,                0.13306,                0.62451,                0.34194,                0.11935,                 2.1577,                 2.3859,                  1.078,              0.0010843,              0.0010843,              0.0010843
                     30,                 2.0144,                 1.2899,                 1.0077,                0.13722,                0.64407,                0.37437,                0.13451,                 2.1401,                 2.2934,                 1.0725,              0.0010986,              0.0010986,              0.0010986
                     31,                 2.0459,                 1.3084,                 1.0119,                0.24786,                0.53064,                0.38974,                0.13236,                 2.2263,                 2.2014,                 1.0984,              0.0011114,              0.0011114,              0.0011114
                     32,                 2.0018,                  1.279,                 1.0252,                0.42481,                0.48501,                0.40955,                0.13904,                 2.2229,                 2.1097,                 1.0959,              0.0011225,              0.0011225,              0.0011225
                     33,                 1.9718,                 1.2746,                 1.0105,                0.42481,                0.48501,                0.40955,                0.13904,                 2.2229,                 2.1097,                 1.0959,              0.0011321,              0.0011321,              0.0011321
                     34,                 1.9374,                 1.2564,                 1.0168,                0.58168,                0.40066,                 0.4438,                0.16063,                 2.1574,                  1.978,                 1.0822,              0.0011288,              0.0011288,              0.0011288
                     35,                 1.9208,                 1.2599,                 1.0143,                0.63577,                0.40282,                0.48212,                0.17326,                 2.1213,                 1.8657,                 1.0879,              0.0011024,              0.0011024,              0.0011024
                     36,                 2.0754,                 1.2643,                 1.0325,                0.58801,                0.40808,                0.43771,                0.15859,                 2.1934,                 1.8262,                 1.1068,               0.001076,               0.001076,               0.001076
                     37,                 2.0043,                 1.2645,                 1.0236,                0.58801,                0.40808,                0.43771,                0.15859,                 2.1934,                 1.8262,                 1.1068,              0.0010496,              0.0010496,              0.0010496
                     38,                 1.9484,                 1.2517,                 1.0089,                0.55019,                0.39505,                0.40632,                0.13811,                 2.3112,                 1.8131,                 1.1421,              0.0010232,              0.0010232,              0.0010232
                     39,                  1.922,                 1.2496,                0.99864,                0.53199,                 0.4031,                0.39978,                0.13759,                 2.2953,                 1.7488,                 1.1338,              0.0009968,              0.0009968,              0.0009968
                     40,                 1.9344,                  1.251,                 1.0167,                0.54075,                0.42112,                0.43535,                0.16194,                 2.1454,                  1.683,                 1.1017,              0.0009704,              0.0009704,              0.0009704
                     41,                 1.9451,                 1.2267,                0.99806,                0.54075,                0.42112,                0.43535,                0.16194,                 2.1454,                  1.683,                 1.1017,               0.000944,               0.000944,               0.000944
                     42,                 1.9191,                 1.2388,                 1.0252,                0.52557,                0.44341,                0.43972,                0.16733,                 2.1058,                  1.635,                 1.0999,              0.0009176,              0.0009176,              0.0009176
                     43,                 1.9359,                 1.2557,                 1.0253,                0.54097,                 0.4625,                0.45855,                0.16878,                 2.1245,                 1.5817,                 1.0984,              0.0008912,              0.0008912,              0.0008912
                     44,                 1.9084,                 1.2047,                0.99088,                0.58808,                0.46161,                0.48323,                 0.1786,                 2.1191,                 1.5208,                 1.0996,              0.0008648,              0.0008648,              0.0008648
                     45,                 1.8943,                 1.2326,                 1.0129,                0.58808,                0.46161,                0.48323,                 0.1786,                 2.1191,                 1.5208,                 1.0996,              0.0008384,              0.0008384,              0.0008384
                     46,                  1.934,                 1.2112,                0.99825,                0.59429,                0.49022,                0.50529,                0.18741,                 2.1237,                 1.4412,                 1.0955,               0.000812,               0.000812,               0.000812
                     47,                 1.8751,                 1.2023,                 1.0135,                0.58102,                0.49413,                0.51077,                0.19313,                  2.092,                 1.4115,                 1.0879,              0.0007856,              0.0007856,              0.0007856
                     48,                 1.9286,                 1.1907,                0.99778,                0.55975,                0.47588,                0.49573,                0.20061,                 2.0534,                 1.3843,                 1.0871,              0.0007592,              0.0007592,              0.0007592
                     49,                 1.8722,                 1.1861,                 1.0114,                0.55975,                0.47588,                0.49573,                0.20061,                 2.0534,                 1.3843,                 1.0871,              0.0007328,              0.0007328,              0.0007328
                     50,                 1.8353,                 1.1541,                 1.0001,                  0.564,                0.49283,                0.50096,                0.19595,                 2.0926,                 1.3672,                 1.1075,              0.0007064,              0.0007064,              0.0007064
                     51,                 1.8543,                 1.1594,                0.99726,                0.58582,                0.50587,                0.51435,                 0.1973,                 2.1162,                 1.3492,                 1.1152,                0.00068,                0.00068,                0.00068
                     52,                  1.874,                 1.1686,                 1.0031,                0.56433,                0.51172,                0.51373,                0.19645,                 2.0998,                 1.3608,                 1.1024,              0.0006536,              0.0006536,              0.0006536
                     53,                 1.8968,                 1.1831,                 1.0032,                0.56433,                0.51172,                0.51373,                0.19645,                 2.0998,                 1.3608,                 1.1024,              0.0006272,              0.0006272,              0.0006272
                     54,                 1.8372,                 1.1632,                0.98697,                0.57299,                0.50196,                0.50396,                0.18868,                  2.115,                 1.3911,                 1.1034,              0.0006008,              0.0006008,              0.0006008
